seq_idx	Date	Location	PANGO	Nextstrain	MutationCount	NCount	GapCount
13412	20210802	Japan	B.1.617.2	21A (Delta)	35	0	13
13413	20210802	Japan	B.1.617.2	21A (Delta)	36	0	13
13414	20210802	Japan	B.1.617.2	21A (Delta)	35	0	13
13415	20210802	Japan	B.1.617.2	21A (Delta)	35	0	13
13416	20210802	Japan	B.1.617.2	21A (Delta)	37	0	13
13417	20210802	Japan	B.1.617.2	21A (Delta)	36	0	13
13418	20210802	Japan	B.1.617.2	21A (Delta)	36	0	13
13419	20210802	Japan	B.1.617.2	21A (Delta)	33	0	13
13420	20210803	Japan	B.1.617.2	21A (Delta)	36	0	13
13421	20210803	Japan	B.1.617.2	21A (Delta)	37	0	13
13422	20210803	Japan	B.1.617.2	21A (Delta)	38	0	13
13423	20210803	Japan	B.1.617.2	21A (Delta)	36	0	13
13424	20210803	Japan	B.1.617.2	21A (Delta)	36	0	13
13425	20210803	Japan	B.1.617.2	21A (Delta)	42	0	13
13426	20210803	Japan	B.1.617.2	21A (Delta)	37	0	13
13427	20210803	Japan	B.1.617.2	21A (Delta)	36	0	13
13428	20210803	Japan	B.1.617.2	21A (Delta)	37	0	13
13429	20210803	Japan	B.1.617.2	21A (Delta)	36	0	13
13430	20210803	Japan	B.1.617.2	21A (Delta)	35	0	13
13431	20210803	Japan	B.1.617.2	21A (Delta)	36	0	13
13432	20210803	Japan	B.1.617.2	21A (Delta)	35	0	13
13433	20210803	Japan	B.1.617.2	21A (Delta)	33	0	13
13434	20210803	Japan	B.1.617.2	21A (Delta)	36	0	13
13435	20210803	Japan	B.1.617.2	21A (Delta)	34	0	13
13436	20210803	Japan	B.1.617.2	21A (Delta)	36	0	13
13437	20210803	Japan	B.1.617.2	21A (Delta)	37	0	13
13438	20210803	Japan	B.1.617.2	21A (Delta)	35	0	13
13439	20210803	Japan	B.1.617.2	21A (Delta)	39	0	13
13440	20210803	Japan	B.1.617.2	21A (Delta)	37	0	13
13441	20210803	Japan	B.1.617.2	21A (Delta)	36	0	13
13442	20210803	Japan	B.1.617.2	21A (Delta)	33	0	13
13443	20210803	Japan	B.1.617.2	21A (Delta)	38	0	13
13444	20210803	Japan	B.1.617.2	21A (Delta)	36	0	13
13445	20210803	Japan	B.1.617.2	21A (Delta)	38	0	13
13446	20210803	Japan	B.1.617.2	21A (Delta)	36	0	13
13447	20210803	Japan	B.1.617.2	21A (Delta)	42	0	13
13448	20210803	Japan	B.1.617.2	21A (Delta)	34	0	13
13449	20210803	Japan	B.1.617.2	21A (Delta)	38	0	13
13450	20210803	Japan	B.1.617.2	21A (Delta)	35	0	13
13451	20210803	Japan	B.1.617.2	21A (Delta)	33	0	13
13452	20210803	Japan	B.1.617.2	21A (Delta)	36	0	13
13453	20210803	Japan	B.1.617.2	21A (Delta)	34	0	1
13454	20210803	Japan	B.1.617.2	21A (Delta)	34	0	13
13455	20210803	Japan	B.1.617.2	21A (Delta)	36	0	13
13456	20210803	Japan	B.1.617.2	21A (Delta)	36	0	13
13457	20210803	Japan	B.1.617.2	21A (Delta)	36	0	13
13458	20210803	Japan	B.1.617.2	21A (Delta)	39	0	13
13459	20210803	Japan	B.1.617.2	21A (Delta)	34	0	13
13460	20210803	Japan	B.1.617.2	21A (Delta)	34	0	13
13461	20210803	Japan	B.1.617.2	21A (Delta)	36	0	13
13462	20210803	Japan	B.1.617.2	21A (Delta)	37	0	13
13463	20210803	Japan	B.1.617.2	21A (Delta)	36	0	13
13464	20210803	Japan	B.1.617.2	21A (Delta)	33	0	13
13465	20210803	Japan	B.1.617.2	21A (Delta)	35	0	13
13466	20210803	Japan	B.1.617.2	21A (Delta)	38	0	16
13467	20210803	Japan	B.1.617.2	21A (Delta)	37	0	13
13468	20210803	Japan	B.1.617.2	21A (Delta)	38	0	13
13469	20210803	Japan	B.1.617.2	21A (Delta)	35	0	13
13470	20210803	Japan	B.1.617.2	21A (Delta)	41	0	13
13471	20210803	Japan	B.1.617.2	21A (Delta)	35	0	13
13472	20210803	Japan	B.1.617.2	21A (Delta)	41	0	13
13473	20210803	Japan	B.1.617.2	21A (Delta)	35	0	13
13474	20210803	Japan	B.1.617.2	21A (Delta)	41	0	13
13475	20210803	Japan	B.1.617.2	21A (Delta)	35	0	13
13476	20210803	Japan	B.1.617.2	21A (Delta)	34	0	13
13477	20210803	Japan	B.1.617.2	21A (Delta)	38	0	13
13478	20210803	Japan	B.1.617.2	21A (Delta)	36	0	13
13479	20210803	Japan	B.1.617.2	21A (Delta)	36	0	13
13480	20210803	Japan	B.1.617.2	21A (Delta)	38	0	13
13481	20210803	Japan	B.1.617.2	21A (Delta)	35	0	13
13482	20210803	Japan	B.1.617.2	21A (Delta)	42	0	16
13483	20210803	Japan	B.1.617.2	21A (Delta)	37	0	13
13484	20210803	Japan	B.1.617.2	21A (Delta)	41	0	13
13485	20210803	Japan	B.1.617.2	21A (Delta)	37	0	13
13486	20210803	Japan	B.1.617.2	21A (Delta)	33	0	13
13487	20210803	Japan	B.1.617.2	21A (Delta)	34	0	13
13488	20210803	Japan	B.1.617.2	21A (Delta)	34	0	13
13489	20210803	Japan	B.1.617.2	21A (Delta)	37	0	13
13490	20210803	Japan	B.1.617.2	21A (Delta)	35	0	13
13491	20210803	Japan	B.1.617.2	21A (Delta)	37	0	13
13492	20210803	Japan	B.1.617.2	21A (Delta)	33	0	13
13493	20210803	Japan	B.1.617.2	21A (Delta)	36	0	13
13494	20210803	Japan	B.1.617.2	21A (Delta)	38	0	13
13495	20210803	Japan	B.1.617.2	21A (Delta)	33	0	13
13496	20210803	Japan	B.1.617.2	21A (Delta)	34	0	13
13497	20210803	Japan	B.1.617.2	21A (Delta)	43	0	13
13498	20210803	Japan	B.1.617.2	21A (Delta)	37	0	13
13499	20210803	Japan	B.1.617.2	21A (Delta)	37	0	13
13500	20210803	Japan	B.1.617.2	21A (Delta)	34	0	13
13501	20210803	Japan	B.1.617.2	21A (Delta)	35	0	13
13502	20210803	Japan	B.1.617.2	21A (Delta)	39	0	13
13503	20210803	Japan	B.1.617.2	21A (Delta)	35	0	13
13504	20210803	Japan	B.1.617.2	21A (Delta)	36	0	13
13505	20210803	Japan	B.1.617.2	21A (Delta)	33	0	13
13506	20210803	Japan	B.1.617.2	21A (Delta)	33	0	13
13507	20210803	Japan	B.1.617.2	21A (Delta)	35	0	13
13508	20210803	Japan	B.1.617.2	21A (Delta)	36	0	13
13509	20210803	Japan	B.1.617.2	21A (Delta)	37	0	13
13510	20210803	Japan	B.1.617.2	21A (Delta)	34	0	13
13511	20210803	Japan	B.1.617.2	21A (Delta)	34	0	13
13512	20210803	Japan	B.1.617.2	21A (Delta)	34	0	13
13513	20210803	Japan	B.1.617.2	21A (Delta)	36	0	13
13514	20210803	Japan	B.1.617.2	21A (Delta)	37	0	13
13515	20210803	Japan	B.1.617.2	21A (Delta)	36	0	13
13516	20210803	Japan	B.1.617.2	21A (Delta)	35	0	13
13517	20210803	Japan	B.1.617.2	21A (Delta)	35	0	13
13518	20210803	Japan	B.1.617.2	21A (Delta)	36	0	13
13519	20210803	Japan	B.1.617.2	21A (Delta)	35	0	13
13520	20210803	Japan	B.1.617.2	21A (Delta)	38	0	13
13521	20210803	Japan	B.1.617.2	21A (Delta)	36	0	13
13522	20210803	Japan	B.1.617.2	21A (Delta)	33	0	13
13523	20210803	Japan	B.1.617.2	21A (Delta)	37	0	13
13524	20210803	Japan	B.1.617.2	21A (Delta)	38	0	13
13525	20210803	Japan	B.1.617.2	21A (Delta)	36	0	13
13526	20210803	Japan	B.1.617.2	21A (Delta)	34	0	13
13527	20210803	Japan	B.1.617.2	21A (Delta)	33	0	13
13528	20210803	Japan	B.1.617.2	21A (Delta)	36	0	13
13529	20210803	Japan	B.1.617.2	21A (Delta)	33	0	13
13530	20210803	Japan	B.1.617.2	21A (Delta)	35	0	13
13531	20210803	Japan	B.1.617.2	21A (Delta)	33	0	13
13532	20210803	Japan	B.1.617.2	21A (Delta)	37	0	13
13533	20210803	Japan	B.1.617.2	21A (Delta)	36	0	13
13534	20210803	Japan	B.1.617.2	21A (Delta)	36	0	13
13535	20210803	Japan	B.1.617.2	21A (Delta)	37	0	13
13536	20210803	Japan	AY.12	21A (Delta)	40	0	13
13537	20210803	Japan	B.1.617.2	21A (Delta)	35	0	13
13538	20210803	Japan	B.1.617.2	21A (Delta)	33	0	13
13539	20210803	Japan	B.1.617.2	21A (Delta)	37	0	13
13540	20210803	Japan	B.1.617.2	21A (Delta)	39	0	13
13541	20210726	Japan	B.1.617.2	21A (Delta)	38	0	13
13542	20210726	Japan	B.1.617.2	21A (Delta)	37	0	13
13543	20210728	Japan	B.1.617.2	21A (Delta)	34	0	13
13544	20210731	Japan	B.1.617.2	21A (Delta)	35	0	13
13545	20210731	Japan	B.1.617.2	21A (Delta)	36	0	13
13546	20210801	Japan	B.1.617.2	21A (Delta)	37	0	13
13547	20210801	Japan	B.1.617.2	21A (Delta)	38	0	13
13548	20210726	Japan	B.1.617.2	21A (Delta)	38	0	13
13549	20210726	Japan	B.1.617.2	21A (Delta)	34	0	13
13550	20210726	Japan	B.1.617.2	21A (Delta)	36	0	13
13551	20210726	Japan	B.1.617.2	21A (Delta)	36	0	13
13552	20210802	Japan	B.1.617.2	21A (Delta)	37	0	13
13553	20210727	Japan	B.1.617.2	21A (Delta)	34	0	13
13554	20210730	Japan	B.1.617.2	21A (Delta)	33	0	85
13555	20210730	Japan	B.1.617.2	21A (Delta)	35	0	13
13556	20210802	Japan	B.1.617.2	21A (Delta)	36	0	13
13557	20210802	Japan	B.1.617.2	21A (Delta)	37	0	13
13558	20210731	Japan	B.1.617.2	21A (Delta)	34	0	85
13559	20210725	Japan	B.1.617.2	21A (Delta)	34	0	13
13560	20210726	Japan	B.1.617.2	21A (Delta)	36	0	13
13561	20210726	Japan	B.1.617.2	21A (Delta)	35	0	13
13562	20210726	Japan	B.1.617.2	21A (Delta)	34	0	13
13563	20210726	Japan	B.1.617.2	21A (Delta)	39	0	13
13564	20210726	Japan	B.1.617.2	21A (Delta)	36	0	13
13565	20210727	Japan	B.1.617.2	21A (Delta)	35	0	13
13566	20210723	Japan	B.1.617.2	21A (Delta)	36	0	13
13567	20210724	Japan	B.1.617.2	21A (Delta)	41	0	13
13568	20210725	Japan	B.1.617.2	21A (Delta)	38	0	13
13569	20210727	Japan	B.1.617.2	21A (Delta)	37	0	13
13570	20210728	Japan	B.1.617.2	21A (Delta)	35	0	13
13571	20210728	Japan	B.1.617.2	21A (Delta)	35	0	13
13572	20210728	Japan	B.1.617.2	21A (Delta)	36	0	13
13573	20210728	Japan	B.1.617.2	21A (Delta)	35	0	13
13574	20210728	Japan	B.1.617.2	21A (Delta)	37	0	13
13575	20210728	Japan	B.1.617.2	21A (Delta)	37	0	13
13576	20210728	Japan	B.1.617.2	21A (Delta)	37	0	13
13577	20210728	Japan	B.1.617.2	21A (Delta)	35	0	13
13578	20210729	Japan	B.1.617.2	21A (Delta)	36	0	13
13579	20210729	Japan	B.1.617.2	21A (Delta)	35	0	13
13580	20210729	Japan	B.1.617.2	21A (Delta)	35	0	13
13581	20210730	Japan	B.1.617.2	21A (Delta)	42	0	13
13582	20210730	Japan	B.1.617.2	21A (Delta)	33	0	13
13583	20210729	Japan	B.1.617.2	21A (Delta)	38	0	13
13584	20210730	Japan	B.1.617.2	21A (Delta)	37	0	13
13585	20210729	Japan	B.1.617.2	21A (Delta)	33	0	13
13586	20210801	Japan	B.1.617.2	21A (Delta)	43	0	13
13587	20210801	Japan	B.1.617.2	21A (Delta)	34	0	13
13588	20210801	Japan	B.1.617.2	21A (Delta)	37	0	13
13589	20210801	Japan	B.1.617.2	21A (Delta)	37	0	13
13590	20210801	Japan	B.1.617.2	21A (Delta)	36	0	13
13591	20210801	Japan	B.1.617.2	21A (Delta)	36	0	13
13592	20210801	Japan	B.1.617.2	21A (Delta)	37	0	13
13593	20210801	Japan	B.1.617.2	21A (Delta)	36	0	13
13594	20210727	Japan	B.1.617.2	21A (Delta)	34	0	13
13595	20210727	Japan	B.1.617.2	21A (Delta)	34	0	13
13596	20210730	Japan	B.1.617.2	21A (Delta)	34	0	13
13597	20210727	Japan	B.1.617.2	21A (Delta)	34	0	13
13598	20210728	Japan	B.1.617.2	21A (Delta)	36	0	13
13599	20210728	Japan	B.1.617.2	21A (Delta)	36	0	13
13600	20210728	Japan	B.1.617.2	21A (Delta)	34	0	13
13601	20210728	Japan	B.1.617.2	21A (Delta)	34	0	13
13602	20210728	Japan	B.1.617.2	21A (Delta)	34	0	13
13603	20210728	Japan	B.1.617.2	21A (Delta)	34	0	13
13604	20210729	Japan	B.1.617.2	21A (Delta)	36	0	13
13605	20210729	Japan	B.1.617.2	21A (Delta)	37	0	13
13606	20210729	Japan	B.1.617.2	21A (Delta)	34	0	13
13607	20210729	Japan	B.1.617.2	21A (Delta)	34	0	13
13608	20210729	Japan	B.1.617.2	21A (Delta)	35	0	13
13609	20210729	Japan	B.1.617.2	21A (Delta)	34	0	13
13610	20210727	Japan	B.1.617.2	21A (Delta)	38	0	13
13611	20210728	Japan	B.1.617.2	21A (Delta)	33	0	13
13612	20210730	Japan	B.1.617.2	21A (Delta)	36	0	13
13613	20210802	Japan	B.1.617.2	21A (Delta)	35	0	13
13614	20210802	Japan	B.1.617.2	21A (Delta)	35	0	13
13615	20210728	Japan	B.1.617.2	21A (Delta)	36	0	13
13616	20210728	Japan	B.1.617.2	21A (Delta)	36	0	13
13617	20210730	Japan	B.1.617.2	21A (Delta)	33	0	13
13618	20210730	Japan	B.1.617.2	21A (Delta)	35	0	13
13619	20210730	Japan	B.1.617.2	21A (Delta)	33	0	13
13620	20210726	Japan	B.1.617.2	21A (Delta)	34	0	13
13621	20210731	Japan	B.1.617.2	21A (Delta)	39	0	13
13622	20210727	Japan	B.1.617.2	21A (Delta)	34	0	13
13623	20210727	Japan	B.1.617.2	21A (Delta)	33	0	13
13624	20210725	Japan	B.1.617.2	21A (Delta)	39	0	13
13625	20210730	Japan	B.1.617.2	21A (Delta)	36	0	13
13626	20210730	Japan	B.1.617.2	21A (Delta)	36	0	13
13627	20210730	Japan	B.1.617.2	21A (Delta)	39	0	13
13628	20210730	Japan	B.1.617.2	21A (Delta)	33	0	13
13629	20210731	Japan	B.1.617.2	21A (Delta)	37	0	13
13630	20210731	Japan	B.1.617.2	21A (Delta)	38	0	13
13631	20210801	Japan	B.1.617.2	21A (Delta)	36	0	13
13632	20210801	Japan	B.1.617.2	21A (Delta)	34	0	13
13633	20210802	Japan	B.1.617.2	21A (Delta)	34	0	13
13634	20210802	Japan	B.1.617.2	21A (Delta)	33	0	13
13635	20210802	Japan	B.1.617.2	21A (Delta)	35	0	13
13636	20210802	Japan	B.1.617.2	21A (Delta)	36	0	13
13637	20210802	Japan	B.1.617.2	21A (Delta)	35	0	13
13638	20210730	Japan	B.1.617.2	21A (Delta)	33	0	13
13639	20210803	Japan	B.1.617.2	21A (Delta)	36	0	13
13640	20210803	Japan	B.1.617.2	21A (Delta)	39	0	13
13641	20210802	Japan	B.1.617.2	21A (Delta)	37	0	13
13642	20210803	Japan	B.1.617.2	21A (Delta)	38	0	13
13643	20210803	Japan	B.1.617.2	21A (Delta)	35	0	13
13644	20210803	Japan	B.1.617.2	21A (Delta)	37	0	13
13645	20210803	Japan	B.1.617.2	21A (Delta)	37	0	13
13646	20210803	Japan	B.1.617.2	21A (Delta)	39	0	13
13647	20210803	Japan	B.1.617.2	21A (Delta)	36	0	13
13648	20210804	Japan	B.1.617.2	21A (Delta)	36	0	13
13649	20210804	Japan	B.1.617.2	21A (Delta)	36	0	13
13650	20210804	Japan	B.1.617.2	21A (Delta)	34	0	13
13651	20210804	Japan	B.1.617.2	21A (Delta)	37	0	16
13652	20210804	Japan	B.1.617.2	21A (Delta)	37	0	13
13653	20210804	Japan	B.1.617.2	21A (Delta)	37	0	13
13654	20210805	Japan	B.1.617.2	21A (Delta)	37	0	13
13655	20210805	Japan	B.1.617.2	21A (Delta)	37	0	13
13656	20210805	Japan	B.1.617.2	21A (Delta)	35	0	13
13657	20210805	Japan	B.1.617.2	21A (Delta)	34	0	13
13658	20210725	Japan	B.1.617.2	21A (Delta)	39	0	13
13659	20210725	Japan	B.1.617.2	21A (Delta)	38	0	13
13660	20210726	Japan	B.1.617.2	21A (Delta)	33	0	13
13661	20210726	Japan	B.1.617.2	21A (Delta)	33	0	13
13662	20210726	Japan	B.1.617.2	21A (Delta)	33	0	13
13663	20210726	Japan	B.1.617.2	21A (Delta)	35	0	13
13664	20210726	Japan	B.1.617.2	21A (Delta)	33	0	13
13665	20210726	Japan	B.1.617.2	21A (Delta)	37	0	13
13666	20210726	Japan	B.1.617.2	21A (Delta)	37	0	13
13667	20210726	Japan	B.1.617.2	21A (Delta)	34	0	13
13668	20210726	Japan	B.1.617.2	21A (Delta)	36	0	13
13669	20210726	Japan	B.1.617.2	21A (Delta)	33	0	13
13670	20210726	Japan	B.1.617.2	21A (Delta)	36	0	13
13671	20210726	Japan	B.1.617.2	21A (Delta)	36	0	13
13672	20210726	Japan	B.1.617.2	21A (Delta)	33	0	13
13673	20210726	Japan	B.1.617.2	21A (Delta)	36	0	13
13674	20210726	Japan	B.1.617.2	21A (Delta)	33	0	13
13675	20210726	Japan	B.1.617.2	21A (Delta)	34	0	13
13676	20210726	Japan	B.1.617.2	21A (Delta)	37	0	13
13677	20210726	Japan	B.1.617.2	21A (Delta)	34	0	13
13678	20210726	Japan	B.1.617.2	21A (Delta)	35	0	13
13679	20210726	Japan	B.1.617.2	21A (Delta)	41	0	13
13680	20210726	Japan	B.1.617.2	21A (Delta)	36	0	13
13681	20210726	Japan	B.1.617.2	21A (Delta)	42	0	13
13682	20210726	Japan	B.1.617.2	21A (Delta)	37	0	13
13683	20210726	Japan	B.1.617.2	21A (Delta)	33	0	13
13684	20210726	Japan	B.1.617.2	21A (Delta)	41	0	13
13685	20210726	Japan	B.1.617.2	21A (Delta)	34	0	13
13686	20210726	Japan	B.1.617.2	21A (Delta)	40	0	13
13687	20210726	Japan	B.1.617.2	21A (Delta)	36	0	13
13688	20210726	Japan	B.1.617.2	21A (Delta)	37	0	13
13689	20210726	Japan	B.1.617.2	21A (Delta)	34	0	13
13690	20210726	Japan	B.1.617.2	21A (Delta)	36	0	13
13691	20210726	Japan	B.1.617.2	21A (Delta)	38	0	13
13692	20210726	Japan	B.1.617.2	21A (Delta)	35	0	13
13693	20210726	Japan	B.1.617.2	21A (Delta)	37	0	13
13694	20210726	Japan	B.1.617.2	21A (Delta)	36	0	13
13695	20210726	Japan	B.1.617.2	21A (Delta)	40	0	13
13696	20210726	Japan	B.1.617.2	21A (Delta)	36	0	13
13697	20210726	Japan	B.1.617.2	21A (Delta)	41	0	13
13698	20210726	Japan	B.1.617.2	21A (Delta)	35	0	13
13699	20210726	Japan	B.1.617.2	21A (Delta)	37	0	13
13700	20210726	Japan	B.1.617.2	21A (Delta)	37	0	13
13701	20210726	Japan	B.1.617.2	21A (Delta)	37	0	13
13702	20210726	Japan	B.1.617.2	21A (Delta)	34	0	13
13703	20210726	Japan	B.1.617.2	21A (Delta)	37	0	13
13704	20210726	Japan	B.1.617.2	21A (Delta)	33	0	13
13705	20210726	Japan	B.1.617.2	21A (Delta)	39	0	13
13706	20210726	Japan	B.1.617.2	21A (Delta)	37	0	13
13707	20210726	Japan	B.1.617.2	21A (Delta)	41	0	13
13708	20210726	Japan	B.1.617.2	21A (Delta)	34	0	13
13709	20210726	Japan	B.1.617.2	21A (Delta)	34	0	13
13710	20210726	Japan	B.1.617.2	21A (Delta)	42	0	13
13711	20210726	Japan	B.1.617.2	21A (Delta)	36	0	13
13712	20210726	Japan	B.1.617.2	21A (Delta)	37	0	13
13713	20210726	Japan	B.1.617.2	21A (Delta)	33	0	13
13714	20210726	Japan	AY.18	21A (Delta)	37	0	13
13715	20210726	Japan	B.1.617.2	21A (Delta)	36	0	13
13716	20210726	Japan	B.1.617.2	21A (Delta)	36	0	13
13717	20210726	Japan	B.1.617.2	21A (Delta)	36	0	13
13718	20210726	Japan	B.1.617.2	21A (Delta)	38	0	13
13719	20210726	Japan	B.1.617.2	21A (Delta)	36	0	13
13720	20210726	Japan	B.1.617.2	21A (Delta)	38	0	13
13721	20210726	Japan	B.1.617.2	21A (Delta)	35	0	13
13722	20210726	Japan	B.1.617.2	21A (Delta)	34	0	13
13723	20210726	Japan	B.1.617.2	21A (Delta)	37	0	16
13724	20210726	Japan	B.1.617.2	21A (Delta)	34	0	13
13725	20210726	Japan	B.1.617.2	21A (Delta)	34	0	13
13726	20210726	Japan	B.1.617.2	21A (Delta)	37	0	13
13727	20210726	Japan	B.1.617.2	21A (Delta)	35	0	13
13728	20210726	Japan	B.1.617.2	21A (Delta)	40	0	13
13729	20210726	Japan	B.1.617.2	21A (Delta)	35	0	13
13730	20210726	Japan	B.1.617.2	21A (Delta)	35	0	13
13731	20210726	Japan	B.1.617.2	21A (Delta)	36	0	13
13732	20210726	Japan	B.1.617.2	21A (Delta)	34	0	13
13733	20210726	Japan	B.1.617.2	21A (Delta)	35	0	13
13734	20210726	Japan	B.1.617.2	21A (Delta)	35	0	13
13735	20210726	Japan	B.1.617.2	21A (Delta)	37	0	13
13736	20210726	Japan	B.1.617.2	21A (Delta)	36	0	16
13737	20210726	Japan	B.1.617.2	21A (Delta)	37	0	13
13738	20210726	Japan	B.1.617.2	21A (Delta)	36	0	13
13739	20210726	Japan	B.1.617.2	21A (Delta)	39	0	13
13740	20210726	Japan	B.1.617.2	21A (Delta)	35	0	13
13741	20210726	Japan	B.1.617.2	21A (Delta)	40	0	13
13742	20210726	Japan	B.1.617.2	21A (Delta)	39	0	13
13743	20210726	Japan	B.1.617.2	21A (Delta)	33	0	13
13744	20210726	Japan	B.1.617.2	21A (Delta)	36	0	13
13745	20210726	Japan	B.1.617.2	21A (Delta)	36	0	13
13746	20210726	Japan	B.1.617.2	21A (Delta)	38	0	13
13747	20210726	Japan	B.1.617.2	21A (Delta)	33	0	13
13748	20210726	Japan	B.1.617.2	21A (Delta)	35	0	13
13749	20210726	Japan	B.1.617.2	21A (Delta)	37	0	13
13750	20210726	Japan	B.1.617.2	21A (Delta)	37	0	13
13751	20210726	Japan	B.1.617.2	21A (Delta)	35	0	13
13752	20210726	Japan	B.1.617.2	21A (Delta)	36	0	13
13753	20210726	Japan	B.1.617.2	21A (Delta)	36	0	13
13754	20210726	Japan	B.1.617.2	21A (Delta)	39	0	13
13755	20210726	Japan	B.1.617.2	21A (Delta)	37	0	13
13756	20210726	Japan	B.1.617.2	21A (Delta)	34	0	13
13757	20210726	Japan	B.1.617.2	21A (Delta)	38	0	13
13758	20210726	Japan	B.1.617.2	21A (Delta)	41	0	13
13759	20210726	Japan	B.1.617.2	21A (Delta)	33	0	13
13760	20210726	Japan	B.1.617.2	21A (Delta)	37	0	13
13761	20210726	Japan	B.1.617.2	21A (Delta)	38	0	13
13762	20210726	Japan	B.1.617.2	21A (Delta)	35	0	13
13763	20210726	Japan	B.1.617.2	21A (Delta)	35	0	13
13764	20210726	Japan	B.1.617.2	21A (Delta)	33	0	13
13765	20210726	Japan	B.1.617.2	21A (Delta)	35	0	13
13766	20210726	Japan	B.1.617.2	21A (Delta)	34	0	13
13767	20210726	Japan	B.1.617.2	21A (Delta)	35	0	13
13768	20210726	Japan	B.1.617.2	21A (Delta)	35	0	13
13769	20210726	Japan	B.1.617.2	21A (Delta)	36	0	13
13770	20210726	Japan	B.1.617.2	21A (Delta)	36	0	13
13771	20210725	Japan	B.1.617.2	21A (Delta)	35	0	13
13772	20210725	Japan	B.1.617.2	21A (Delta)	37	0	13
13773	20210725	Japan	B.1.617.2	21A (Delta)	36	0	13
13774	20210725	Japan	B.1.617.2	21A (Delta)	34	0	13
13775	20210725	Japan	B.1.617.2	21A (Delta)	35	0	13
13776	20210725	Japan	B.1.617.2	21A (Delta)	35	0	13
13777	20210725	Japan	B.1.617.2	21A (Delta)	39	0	13
13778	20210726	Japan	B.1.617.2	21A (Delta)	38	0	13
13779	20210726	Japan	B.1.617.2	21A (Delta)	34	0	13
13780	20210726	Japan	B.1.617.2	21A (Delta)	38	0	13
13781	20210726	Japan	B.1.617.2	21A (Delta)	38	0	13
13782	20210727	Japan	B.1.617.2	21A (Delta)	36	0	13
13783	20210727	Japan	B.1.617.2	21A (Delta)	40	0	13
13784	20210727	Japan	B.1.617.2	21A (Delta)	37	0	13
13785	20210727	Japan	B.1.617.2	21A (Delta)	36	0	13
13786	20210727	Japan	B.1.617.2	21A (Delta)	36	0	13
13787	20210727	Japan	B.1.617.2	21A (Delta)	36	0	13
13788	20210727	Japan	B.1.617.2	21A (Delta)	35	0	13
13789	20210726	Japan	B.1.617.2	21A (Delta)	33	0	13
13790	20210727	Japan	B.1.617.2	21A (Delta)	34	0	13
13791	20210727	Japan	B.1.617.2	21A (Delta)	35	0	13
13792	20210727	Japan	B.1.617.2	21A (Delta)	35	0	13
13793	20210727	Japan	B.1.617.2	21A (Delta)	35	0	13
13794	20210727	Japan	B.1.617.2	21A (Delta)	36	0	13
13795	20210727	Japan	B.1.617.2	21A (Delta)	43	0	13
13796	20210727	Japan	B.1.617.2	21A (Delta)	36	0	13
13797	20210727	Japan	B.1.617.2	21A (Delta)	36	0	13
13798	20210727	Japan	B.1.617.2	21A (Delta)	36	0	13
13799	20210727	Japan	B.1.617.2	21A (Delta)	36	0	13
13800	20210727	Japan	B.1.617.2	21A (Delta)	36	0	13
13801	20210727	Japan	B.1.617.2	21A (Delta)	36	0	13
13802	20210727	Japan	B.1.617.2	21A (Delta)	37	0	13
13803	20210727	Japan	B.1.617.2	21A (Delta)	39	0	13
13804	20210727	Japan	B.1.617.2	21A (Delta)	38	0	13
13805	20210727	Japan	B.1.617.2	21A (Delta)	33	0	13
13806	20210727	Japan	B.1.617.2	21A (Delta)	35	0	13
13807	20210727	Japan	B.1.617.2	21A (Delta)	37	0	13
13808	20210727	Japan	B.1.617.2	21A (Delta)	33	0	13
13809	20210727	Japan	B.1.617.2	21A (Delta)	39	0	13
13810	20210727	Japan	B.1.617.2	21A (Delta)	33	0	13
13811	20210727	Japan	B.1.617.2	21A (Delta)	35	0	13
13812	20210727	Japan	B.1.617.2	21A (Delta)	36	0	13
13813	20210727	Japan	B.1.617.2	21A (Delta)	35	0	13
13814	20210727	Japan	B.1.617.2	21A (Delta)	36	0	13
13815	20210727	Japan	B.1.617.2	21A (Delta)	37	0	13
13816	20210727	Japan	B.1.617.2	21A (Delta)	36	0	13
13817	20210727	Japan	B.1.617.2	21A (Delta)	36	0	13
13818	20210727	Japan	B.1.617.2	21A (Delta)	38	0	13
13819	20210727	Japan	B.1.617.2	21A (Delta)	34	0	13
13820	20210727	Japan	B.1.617.2	21A (Delta)	40	0	13
13821	20210727	Japan	B.1.617.2	21A (Delta)	35	0	13
13822	20210727	Japan	B.1.617.2	21A (Delta)	36	0	13
13823	20210727	Japan	B.1.617.2	21A (Delta)	37	0	13
13824	20210727	Japan	B.1.617.2	21A (Delta)	38	0	13
13825	20210727	Japan	B.1.617.2	21A (Delta)	37	0	13
13826	20210727	Japan	B.1.617.2	21A (Delta)	35	0	13
13827	20210727	Japan	B.1.617.2	21A (Delta)	36	0	13
13828	20210727	Japan	B.1.617.2	21A (Delta)	33	0	13
13829	20210727	Japan	B.1.617.2	21A (Delta)	37	0	13
13830	20210727	Japan	B.1.617.2	21A (Delta)	35	0	13
13831	20210727	Japan	B.1.617.2	21A (Delta)	35	0	13
13832	20210725	Japan	B.1.617.2	21A (Delta)	34	0	13
13833	20210725	Japan	B.1.617.2	21A (Delta)	36	0	13
13834	20210725	Japan	B.1.617.2	21A (Delta)	35	0	13
